"Date","34 m","40 m","47 m","56 m","66 m","78 m","92 m","110 m"
2005-12-03,9.8,8.61,7.45,7.15,6.83,6.71,7.63,8.4
2005-12-04,9.84,8.93,7.84,7.09,6.68,6.87,7.85,8.44
2005-12-05,9.57,9.09,7.88,7.13,6.72,7.06,7.91,8.45
2005-12-06,9.18,8.84,7.95,7.23,6.85,7.23,7.93,8.34
2005-12-07,8.69,8.54,7.8,7.17,6.89,7.34,7.93,8.34
2005-12-08,8.3,8.41,7.86,7.13,6.89,7.33,8,8.37
2005-12-09,7.96,8.26,7.74,7.02,6.74,7.27,8.1,8.43
2005-12-10,7.76,8.05,7.75,6.97,6.59,7.22,8.1,8.51
2005-12-11,7.53,7.81,7.75,6.87,6.43,7.14,8.16,8.55
2005-12-12,7.71,7.8,7.78,6.76,6.32,7.09,8.09,8.56
2005-12-13,7.9,7.8,7.86,6.63,6.21,7.04,8.06,8.45
2005-12-14,7.96,7.82,7.89,6.56,6.15,7.02,8.03,8.41
2005-12-15,7.79,7.58,8,6.51,6.07,7.01,7.97,8.27
2005-12-16,7.72,7.38,8.03,6.63,6.06,6.99,7.98,8.32
2005-12-17,7.5,7.48,7.81,6.64,6.09,6.97,7.87,8.26
2005-12-18,7.09,7.38,7.65,6.58,6.07,6.99,7.9,8.19
2005-12-19,6.95,7.18,7.67,6.74,6.15,6.9,8,8.29
2005-12-20,6.73,7.03,7.36,6.52,6.12,6.87,7.94,8.32
2005-12-21,6.59,6.79,7.29,6.51,6.06,6.84,8.11,8.36
2005-12-22,6.44,6.63,7.35,6.52,6.01,6.76,8.13,8.48
2005-12-23,6.22,6.52,7.17,6.28,5.89,6.68,8.06,8.41
2005-12-24,6.11,6.42,7.1,6.25,5.81,6.64,8.12,8.38
2005-12-25,6.06,6.36,7.09,6.18,5.75,6.57,8.12,8.44
2005-12-26,6.07,6.35,6.95,5.99,5.63,6.49,8.09,8.37
2005-12-27,6.22,6.38,6.79,5.94,5.54,6.44,8.04,8.38
2005-12-28,6.19,6.35,6.71,5.92,5.51,6.41,8.06,8.31
2005-12-29,6.19,6.28,6.82,5.85,5.46,6.41,8.16,8.4
2005-12-30,6.26,6.46,6.74,5.79,5.45,6.3,7.87,8.23
2005-12-31,6.33,6.58,6.66,5.85,5.51,6.28,7.75,8.09
2006-01-01,6.28,6.48,6.74,5.91,5.57,6.32,7.89,8.15
2006-01-02,6.21,6.4,6.66,5.79,5.54,6.28,7.88,8.22
2006-01-03,6.1,6.31,6.61,5.75,5.51,6.25,7.86,8.21
2006-01-04,6.04,6.19,6.59,5.7,5.48,6.26,7.98,8.23
2006-01-05,5.96,5.96,6.51,5.6,5.4,6.24,7.99,8.22
2006-01-06,6.13,5.93,6.44,5.63,5.35,6.21,7.95,8.16
2006-01-07,6.36,5.99,6.41,5.6,5.31,6.2,7.98,8.1
2006-01-08,6.52,6.13,6.42,5.56,5.22,6.17,7.95,8.06
2006-01-09,6.57,6.19,6.55,5.57,5.21,6.16,7.94,8.06
2006-01-10,6.59,6.21,6.6,5.55,5.24,6.15,7.76,7.95
2006-01-11,6.5,6.23,6.65,5.59,5.27,6.24,7.89,7.98
2006-01-12,6.48,6.25,6.72,5.64,5.34,6.25,7.9,8.02
2006-01-13,6.44,6.29,6.68,5.61,5.37,6.28,7.85,8.03
2006-01-14,6.43,6.28,6.69,5.59,5.36,6.33,7.96,8.04
2006-01-15,6.54,6.3,6.62,5.57,5.39,6.32,7.85,8.04
2006-01-16,6.7,6.39,6.54,5.59,5.42,6.39,7.87,8.05
2006-01-17,6.57,6.45,6.58,5.68,5.49,6.44,8.01,8.14
2006-01-18,6.48,6.38,6.6,5.6,5.5,6.53,8.18,8.17
2006-01-19,6.47,6.38,6.46,5.42,5.46,6.5,8.01,8.22
2006-01-20,6.31,6.4,6.48,5.54,5.57,6.63,8.12,8.14
2006-01-21,6.34,6.37,6.42,5.42,5.54,6.69,8.23,8.23
2006-01-22,6.23,6.37,6.38,5.41,5.55,6.67,8.19,8.23
2006-01-23,5.89,6.13,6.39,5.34,5.51,6.75,8.29,8.23
2006-01-24,5.98,5.93,6.21,5.11,5.23,6.69,8.23,8.13
2006-01-25,6.09,5.88,5.98,5.08,5.03,6.62,8.15,8.02
2006-01-26,6.03,5.89,5.95,5.1,4.94,6.55,8.16,7.97
2006-01-27,5.77,5.63,5.78,4.95,4.81,6.44,8.05,7.96
2006-01-28,5.59,5.41,5.75,4.98,4.79,6.39,8.03,7.89
